ID,BASE,DESI_ARTI
36268,webpdrmif,ACCOUPLEMENT A FERMETURE RAPID
23943,webpdrmif,ACCOUPLEMENT A FLECTOR DIAM1
40036,webpdrmif,ACCOUPLEMENT A MANCHON
39538,webpdrmif,ACCOUPLEMENT A MONCHON CONIQUE
46912,webpdrmif,ACCOUPLEMENT A100 SIHI
43115,webpdrmif,ACCOUPLEMENT A24/32 22/24
73585,webpdrmif,ACCOUPLEMENT A24/32 22/24
16505,webpdrmif,ACCOUPLEMENT A40/CLAN -ALESAGE
3673,webpdrmif,ACCOUPLEMENT AC1
5508,webpdrmif,ACCOUPLEMENT AC1 FORMAT
3494,webpdrmif,ACCOUPLEMENT AC2
87614,webpdrmif,accouplement bitumil
95057,webpdrmif,accouplement bitumil
62626,webpdrmif,ACCOUPLEMENT BLACK MERE
55397,webpdrmif,ACCOUPLEMENT CAOUTCHOU GM
55398,webpdrmif,ACCOUPLEMENT CAOUTCHOU PM
96237,webpdrmif,ACCOUPLEMENT CAR 262
756,webpdrmif,ACCOUPLEMENT COMPLET
1161,webpdrmif,ACCOUPLEMENT COMPLET
1162,webpdrmif,ACCOUPLEMENT COMPLET
1174,webpdrmif,ACCOUPLEMENT COMPLET
9296,webpdrmif,ACCOUPLEMENT COMPLET
51023,webpdrmif,ACCOUPLEMENT COMPLET
51143,webpdrmif,ACCOUPLEMENT COMPLET
61637,webpdrmif,Accouplement complet
61640,webpdrmif,Accouplement complet
61641,webpdrmif,Accouplement complet
67030,webpdrmif,ACCOUPLEMENT COMPLET
90990,webpdrmif,ACCOUPLEMENT COMPLET
91263,webpdrmif,ACCOUPLEMENT COMPLET
101423,webpdrmif,Accouplement complet
1160,webpdrmif,ACCOUPLEMENT COMPLET 
1173,webpdrmif,ACCOUPLEMENT COMPLET 
97630,webpdrmif,ACCOUPLEMENT COMPLET                              
47948,webpdrmif,ACCOUPLEMENT COMPLET 100 NVA POVAL
82418,webpdrmif,Accouplement complet cum 31478900hrc
60053,webpdrmif,ACCOUPLEMENT COMPLET POMPE
61427,webpdrmif,Accouplement complet pompe
3528,webpdrmif,ACCOUPLEMENT COMPLETS
65250,webpdrmif,accouplement composé
50641,webpdrmif,ACCOUPLEMENT COMPOSE
65129,webpdrmif,accouplement compose
47377,webpdrmif,ACCOUPLEMENT COMPOSE COMPLET 3
22147,webpdrmif,ACCOUPLEMENT COTE MOTEUR
22148,webpdrmif,ACCOUPLEMENT COTE REDUCTEUR
3157,webpdrmif,ACCOUPLEMENT D=10.75 677825004
55078,webpdrmif,ACCOUPLEMENT D'ARBRE
93848,webpdrmif,ACCOUPLEMENT DE COMMANDE 240122
48023,webpdrmif,Accouplement de Pompe
102431,webpdrmif,ACCOUPLEMENT DE POMPE     
64421,webpdrmif,Accouplement de pompe GM
3420,webpdrmif,ACCOUPLEMENT DE TUYAU 1/4
3421,webpdrmif,ACCOUPLEMENT DE TUYAU D=3/8
3422,webpdrmif,ACCOUPLEMENT DE TUYAU D=6
4398,webpdrmif,ACCOUPLEMENT DE TUYAUX
47376,webpdrmif,ACCOUPLEMENT DEMI
2827,webpdrmif,ACCOUPLEMENT ELASTIQUE
5632,webpdrmif,ACCOUPLEMENT ELASTIQUE
60894,webpdrmif,Accouplement elastique
93154,webpdrmif,ACCOUPLEMENT ELASTIQUE 
104427,webpdrmif,ACCOUPLEMENT ELASTIQUE 
96235,webpdrmif,ACCOUPLEMENT EN « T »
97050,webpdrmif,ACCOUPLEMENT EN « T »
30423,webpdrmif,ACCOUPLEMENT EN ACIE POUR PO;P
102931,webpdrmif,ACCOUPLEMENT EN ALUMINIUME 60MMZ29
27189,webpdrmif,ACCOUPLEMENT EN BOIS
14125,webpdrmif,ACCOUPLEMENT EN BRONZE CONFEC.
87623,webpdrmif,Accouplement en polyamide
95052,webpdrmif,Accouplement en polyamide
100270,webpdrmif,ACCOUPLEMENT EN TEFLON  
84418,webpdrmif,Accouplement f 55
2063,webpdrmif,ACCOUPLEMENT FLEXIBLE
18450,webpdrmif,ACCOUPLEMENT FLEXIBLE
8447,webpdrmif,ACCOUPLEMENT G M
84568,webpdrmif,ACCOUPLEMENT G M
17486,webpdrmif,ACCOUPLEMENT GM
48401,webpdrmif,ACCOUPLEMENT KSB
16909,webpdrmif,ACCOUPLEMENT L.095
17489,webpdrmif,ACCOUPLEMENT L=095
41307,webpdrmif,ACCOUPLEMENT L=095
41308,webpdrmif,ACCOUPLEMENT L=095
17487,webpdrmif,ACCOUPLEMENT L=110
17488,webpdrmif,ACCOUPLEMENT L=110
20288,webpdrmif,ACCOUPLEMENT L=110
41047,webpdrmif,ACCOUPLEMENT L095
45164,webpdrmif,ACCOUPLEMENT LONGER 150mm
42101,webpdrmif,ACCOUPLEMENT M/R
93845,webpdrmif,ACCOUPLEMENT MESUREUR 292445
44344,webpdrmif,ACCOUPLEMENT META
86331,webpdrmif,ACCOUPLEMENT METALISTIQUE
86332,webpdrmif,ACCOUPLEMENT METALISTIQUE
15714,webpdrmif,ACCOUPLEMENT MN75
19638,webpdrmif,ACCOUPLEMENT MONCHON
26265,webpdrmif,ACCOUPLEMENT MOT E28
47045,webpdrmif,ACCOUPLEMENT MOTEUR
74021,webpdrmif,ACCOUPLEMENT MOTEUR
62478,webpdrmif,accouplement motopompe
63497,webpdrmif,Accouplement motopompe POVAL
36004,webpdrmif,ACCOUPLEMENT MOYA24
36512,webpdrmif,ACCOUPLEMENT MOYA24
35694,webpdrmif,Accouplement Moyeau B24-ALU
36809,webpdrmif,ACCOUPLEMENT MOYEU A24
66778,webpdrmif,ACCOUPLEMENT MOYEU A24
26831,webpdrmif,ACCOUPLEMENT O 32
26830,webpdrmif,ACCOUPLEMENT O 34
62078,webpdrmif,Accouplement p/ pompe
16718,webpdrmif,ACCOUPLEMENT P/BOITE DE V
66820,webpdrmif,Accouplement p/Moteur Hyd
14398,webpdrmif,ACCOUPLEMENT P/PPE HYDRAULIQUE
104788,webpdrmif,ACCOUPLEMENT PARTIE 1
104952,webpdrmif,ACCOUPLEMENT PARTIE 1
104803,webpdrmif,ACCOUPLEMENT PARTIE 2
105007,webpdrmif,ACCOUPLEMENT PARTIE 2
105008,webpdrmif,ACCOUPLEMENT PARTIE 2
3845,webpdrmif,ACCOUPLEMENT PKD NØ25
3446,webpdrmif,ACCOUPLEMENT PKD NØ28
6091,webpdrmif,ACCOUPLEMENT PKDNØ17
8273,webpdrmif,ACCOUPLEMENT POMPE
22604,webpdrmif,ACCOUPLEMENT POMPE
39948,webpdrmif,ACCOUPLEMENT POMPE
47980,webpdrmif,ACCOUPLEMENT POMPE
82419,webpdrmif,Accouplement pompe à bitume
5859,webpdrmif,ACCOUPLEMENT POMPE G.O
93710,webpdrmif,ACCOUPLEMENT POMPE MOTEUR
104471,webpdrmif,ACCOUPLEMENT POMPE P/ MOTEUR CHAUDIERE
16053,webpdrmif,ACCOUPLEMENT POS 5
16144,webpdrmif,ACCOUPLEMENT POS 5
16025,webpdrmif,ACCOUPLEMENT POS 59
41302,webpdrmif,ACCOUPLEMENT POS8
95126,webpdrmif,ACCOUPLEMENT POUR MOTO POMPE 
45184,webpdrmif,ACCOUPLEMENT POUR POMPE A EAU
22893,webpdrmif,ACCOUPLEMENT PPE SIHI PZK-12
40214,webpdrmif,ACCOUPLEMENT RAPIDE
40215,webpdrmif,ACCOUPLEMENT RAPIDE
66815,webpdrmif,Accouplement Rapide
36369,webpdrmif,ACCOUPLEMENT RENOLD
60884,webpdrmif,Accouplement rigide
61557,webpdrmif,Accouplement rigide
64394,webpdrmif,Accouplement rigide pour moto ppe
26832,webpdrmif,ACCOUPLEMENT SANS ALESAGE L=110 203+610
82420,webpdrmif,Accouplement sans chicane pour bitume
7327,webpdrmif,ACCOUPLEMENT SKF
16942,webpdrmif,ACCOUPLEMENT TARAUDE
78892,webpdrmif,ACCOUPLEMENT VARIATEUR
25936,webpdrmif,ACCOUPLEMENT VERRIN
69307,webpdrmif,ACCOUPLEMENT VERRIN
87158,webpdrmif,ACCOUPLEMENT VERRIN
59312,webpdrmif,ACCOUPLEMENT(manchon)
7549,webpdrmif,ACCOUPLEMENT0030-637
101645,webpdrmif,Accouplement-4*6*8H/4461
73144,webpdrmif,ACCOUPLEMENT88
63470,webpdrmif,Accouplements pour pompe KSB 100 MH.
36789,webpdrmif,ACCOUPLEMET
66640,webpdrmif,ACCOUPLEMET
41303,webpdrmif,ACCOUPLENT L=110
45394,webpdrmif,ACCOUPPLEMENT
65227,webpdrmif,accplement
51170,webpdrmif,Accroche flamme FI 150X40
85807,webpdrmif,ACCSSOIRE ACCOUPLEMENT
