CODE_PRODUIT,ID,
MEDA00126,35168,gpairo
MEDA00125,69935,gpairo
MEDA00125,70661,gpairo
MEDA00121,82085,gpairo
ELCC00149,49829,gpairo
ELCC00149,57117,gpairo
ELC100150,76786,gpairo
OUO100151,52710,gpairo
MEEA00152,32258,gpairo
ELDA00153,60307,gpairo
MEAI00154,93877,gpairo
ELOA00155,91951,gpairo
ELO100156,8051,gpairo
ELO100156,59865,gpairo
ELO100156,62292,gpairo
ELO100156,63378,gpairo
ELO100156,65788,gpairo
ELO100156,90037,gpairo
ELO100156,77196,gpairo
ELO100156,77198,gpairo
ELO100156,77199,gpairo
ELO100156,77204,gpairo
ELO100156,34095,gpairo
ELO100157,91414,gpairo
ELO100156,41213,gpairo
ELO100156,79021,gpairo
ELO100156,79026,gpairo
ELO100156,73141,gpairo
ELO100156,39715,gpairo
ELO100156,74548,gpairo
ELO100156,75304,gpairo
ELO100156,92872,gpairo
ELO100156,39718,gpairo
ELO100156,77529,gpairo
ELO100156,91413,gpairo
ELO100156,60029,gpairo
ELO100156,89571,gpairo
ELO100156,73269,gpairo
ELO100156,85625,gpairo
ELO100156,69880,gpairo
ELO100156,84737,gpairo
ELO100156,62293,gpairo
ELO100156,62294,gpairo
ELO100156,62295,gpairo
ELO100156,91355,gpairo
ELO100156,39723,gpairo
ELO100156,34202,gpairo
ELO100156,91976,gpairo
ELO100156,84738,gpairo
ELO100156,59086,gpairo
ELO100156,90138,gpairo
ELO100156,59864,gpairo
ELO100156,951,gpairo
ELO100156,13870,gpairo
ELO100156,22651,gpairo
ELO100156,69746,gpairo
ELO100156,59962,gpairo
ELO100156,73129,gpairo
ELO100156,69882,gpairo
ELO100156,69883,gpairo
ELO100156,69881,gpairo
ELO100156,91975,gpairo
ELO100156,91978,gpairo
ELO100156,79022,gpairo
ELO100156,72958,gpairo
ELO100156,91430,gpairo
ELO100156,85626,gpairo
ELO100156,72759,gpairo
ELO100156,91979,gpairo
ELO100156,76930,gpairo
ELO100156,43898,gpairo
ELO100156,73192,gpairo
