CODE_PRODUIT,NOM PRODUIT,FAMILLE,SOUS_FAMILLE,AGREGAT
CACPART03261,croisillon de chassis,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03354,deflecteur,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03355,deflecteur droit,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03356,deflecteur gauche,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03357,deflecteur cabine,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03361,deflecteur exterieur gauche,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03384,demi cache,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03399,demi flasque,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03401,demi flasque avant,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
CACPART03962,embleme sigle,Carrosserie,Carrosserie / Vitres / Peinture,Partie avant
